"","","","","","","","","","","","","","","","","","",""
"山东省即开仓库仓库出入库汇总表","","","","","","","","","","","","","","","","","",""
"A2.05","","","","","","","","","","","","","","","","","",""
"查询日期：","","2018-11-13~2018-11-13","","","","","","","","","","","","","打印时间：","","2018-11-14 06:13:32",""
"","","","","","","","","","","","","","","","","","",""
"面值","游戏编号","游戏名称","期初库存","","","","入库","","","","出库","","","","期末库存","","",""
"","","","奖组","箱","包数","金额","奖组","箱","包数","金额","奖组","箱","包数","金额","奖组","箱","包数","金额"
"面值合计","","","0","5,151","419","147,626,400","0","0","0","0","0","15","1,803","1,531,800","0","5,098","491","146,094,600"
"30","0134","宝石之王","0","85","67","5,140,200","0","0","0","0","0","0","82","49,200","0","84","85","5,091,000"
"30","0175","好彩头","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","0287","好彩头","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","0319","黄金世界","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","0338","至尊宝","0","0","3","1,800","0","0","0","0","0","0","0","0","0","0","3","1,800"
"30","0354","大吉大利","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","0433","富贵有余","0","80","63","4,837,800","0","0","0","0","0","0","72","43,200","0","79","91","4,794,600"
"30","0446","天降财神","0","33","21","1,992,600","0","0","0","0","0","0","85","51,000","0","32","36","1,941,600"
"面值合计","","","0","198","154","11,972,400","0","0","0","0","0","0","239","143,400","0","195","215","11,829,000"
"50","0469","巅峰对决","0","16","103","1,303,000","0","0","0","0","0","0","430","430,000","0","11","48","873,000"
"面值合计","","","0","16","103","1,303,000","0","0","0","0","0","0","430","430,000","0","11","48","873,000"
"总计","","","0","16,581","2,928","483,461,700","0","0","0","0","0","18","4,199","3,137,000","0","16,490","2,809","480,324,700"
