"销售网点分玩法销售统计","","","","","","","","","","","","",""
"JX201","","","","","","","","","","","","",""
"日期范围：","2018-11-13~2018-11-13","","","","","","","","打印时间：","","","2018-11-14 06:12:33",""
"","","","","","","","","","","","","",""
"市编码","市名称","县编码","县名称","网点编码","网点名称","游戏编码","游戏名称","激活包数","激活金额","确认包数","确认金额","兑奖张数","兑奖金额"
"3701","济南市","370102","历下区","3701001966","3701001966","0481","节气歌","0","0","0","0","14","410"
"3701","济南市","370102","历下区","3701001978","3701001978","0267","甜蜜蜜","1","600","1","600","0","0"
"3701","济南市","370102","历下区","3701001978","3701001978","0431","粉橙蓝","1","600","1","600","0","0"
"3701","济南市","370102","历下区","3701001978","3701001978","0451","麻辣6","2","1,200","2","1,200","0","0"
"3701","济南市","370102","历下区","3701001978","3701001978","0481","节气歌","6","3,600","6","3,600","0","0"
"3701","济南市","370102","历下区","3701001979","3701001979","0469","巅峰对决","0","0","0","0","9","440"
"3701","济南市","370102","历下区","3701002004","3701002004","0335","滚雪球","0","0","0","0","2","20"
"3701","济南市","370102","历下区","3701002004","3701002004","0397","好运123","0","0","0","0","2","20"
"3701","济南市","370102","历下区","3701002004","3701002004","0403","10来运转","0","0","0","0","3","30"
"3701","济南市","370102","历下区","3701002004","3701002004","0433","富贵有余","0","0","0","0","1","30"
"3701","济南市","370102","历下区","3701002004","3701002004","0434","八喜","0","0","0","0","5","13"
"3701","济南市","370102","历下区","3701002004","3701002004","0456","红樱桃","0","0","0","0","6","42"
"3701","济南市","370102","历下区","3701002004","3701002004","0473","数字密码","0","0","0","0","3","40"
"3701","济南市","370102","历下区","3701002004","3701002004","0481","节气歌","0","0","0","0","2","40"
"3701","济南市","370102","历下区","3701002004","3701002004","0482","锦绣","0","0","0","0","1","20"
"3701","济南市","370102","历下区","3701002010","3701002010","0267","甜蜜蜜","0","0","0","0","1","5"
"3701","济南市","370102","历下区","3701002010","3701002010","0423","太空寻宝","0","0","0","0","2","4"
"3701","济南市","370102","历下区","3701002010","3701002010","0431","粉橙蓝","0","0","0","0","4","30"
"3701","济南市","370102","历下区","3701002010","3701002010","0452","旺旺","0","0","0","0","1","2"
"3701","济南市","370102","历下区","3701002011","3701002011","0134","宝石之王","0","0","0","0","7","300"
"3701","济南市","370102","历下区","3701002011","3701002011","0469","巅峰对决","0","0","0","0","1","1,600"
"3701","济南市","370102","历下区","3701002011","3701002011","0481","节气歌","0","0","0","0","13","390"
"3701","济南市","370102","历下区","3701002026","3701002026","0267","甜蜜蜜","0","0","2","1,200","0","0"
"3701","济南市","370102","历下区","3701002026","3701002026","0373","我爱中国","0","0","0","0","1","20"
"3701","济南市","370102","历下区","3701002026","3701002026","0375","黄金之城","0","0","0","0","1","10"
"3701","济南市","370102","历下区","3701002026","3701002026","0403","10来运转","0","0","0","0","2","20"
"3701","济南市","370102","历下区","3701002026","3701002026","0408","7","0","0","0","0","3","90"
"3701","济南市","370102","历下区","3701002026","3701002026","0416","点石成金","0","0","0","0","1","20"
"3701","济南市","370102","历下区","3701002026","3701002026","0423","太空寻宝","0","0","0","0","3","6"
"3701","济南市","370102","历下区","3701002026","3701002026","0428","中奖达人","0","0","0","0","5","50"
"3701","济南市","370102","历下区","3701002026","3701002026","0429","天时地利人和","0","0","0","0","2","40"
"3701","济南市","370102","历下区","3701002026","3701002026","0433","富贵有余","0","0","0","0","15","630"
"3701","济南市","370102","历下区","3701002026","3701002026","0451","麻辣6","0","0","2","1,200","36","285"
"3701","济南市","370102","历下区","3701002026","3701002026","0465","十倍幸运","0","0","0","0","2","40"
"3701","济南市","370102","历下区","3701002026","3701002026","0469","巅峰对决","0","0","1","1,000","2","70"
"3701","济南市","370102","历下区","3701002026","3701002026","0472","绿翡翠 9","0","0","0","0","7","95"
"3701","济南市","370102","历下区","3701002026","3701002026","0481","节气歌","0","0","6","3,600","0","0"
"3701","济南市","370102","历下区","3701002027","3701002027","0267","甜蜜蜜","0","0","1","600","14","90"
"3701","济南市","370102","历下区","3701002027","3701002027","0314","LOVE","0","0","0","0","8","100"
"3701","济南市","370102","历下区","3701002027","3701002027","0335","滚雪球","0","0","0","0","2","30"
"3701","济南市","370102","历下区","3701002027","3701002027","0351","财运到","0","0","0","0","1","10"
"3701","济南市","370102","历下区","3701002027","3701002027","0380","中国红","0","0","0","0","4","40"
"3701","济南市","370102","历下区","3701002027","3701002027","0397","好运123","0","0","0","0","8","55"
"3701","济南市","370102","历下区","3701002027","3701002027","0408","7","1","600","0","0","3","100"
