"","","","","","","","","","","","","","","","","","",""
"浙江省即开仓库仓库出入库汇总表","","","","","","","","","","","","","","","","","",""
"A2.05","","","","","","","","","","","","","","","","","",""
"查询日期：","","2018-11-13~2018-11-13","","","","","","","","","","","","","打印时间：","","2018-11-14 06:20:17",""
"","","","","","","","","","","","","","","","","","",""
"面值","游戏编号","游戏名称","期初库存","","","","入库","","","","出库","","","","期末库存","","",""
"","","","奖组","箱","包数","金额","奖组","箱","包数","金额","奖组","箱","包数","金额","奖组","箱","包数","金额"
"10","0472","绿翡翠 9","0","234","59","7,055,400","0","0","0","0","0","0","89","53,400","0","232","70","7,002,000"
"10","0473","数字密码","0","188","37","5,662,200","0","0","0","0","0","0","13","7,800","0","188","24","5,654,400"
"10","0475","动起来","0","84","14","2,528,400","0","0","0","0","0","0","5","3,000","0","84","9","2,525,400"
"10","0478","爱跑","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"面值合计","","","0","4,459","1,223","133,491,900","0","0","0","0","0","0","708","399,300","0","4,442","1,365","133,092,600"
"20","0132","超级赢家","0","0","1","600","0","0","0","0","0","0","0","0","0","0","1","600"
"20","0147","点石成金","0","0","24","14,400","0","0","0","0","0","0","0","0","0","0","24","14,400"
"20","0156","NBA","0","9","39","293,400","0","0","0","0","0","0","0","0","0","9","39","293,400"
"20","0215","黑旋风","0","0","7","4,200","0","0","0","0","0","0","0","0","0","0","7","4,200"
"20","0237","大乐透","0","0","17","10,200","0","0","0","0","0","0","0","0","0","0","17","10,200"
"20","0247","NBA","0","81","75","2,475,000","0","0","0","0","0","0","0","0","0","81","75","2,475,000"
"20","0259","宝罐","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0288","四季来财","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0300","中国红","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0321","招财进宝","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0327","富贵8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0329","夺宝","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0343","大红包","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0348","皇家金典","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0363","富贵竹","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0374","超值8","0","102","28","1,546,800","0","0","0","0","0","0","42","25,200","0","100","36","1,521,600"
"20","0381","中国红","0","40","21","1,212,600","0","0","0","0","0","0","83","49,800","0","38","38","1,162,800"
"20","0387","卧虎藏龙","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0408","7","0","108","48","3,268,800","0","0","0","0","0","0","141","84,600","0","106","7","3,184,200"
"20","0409","日进斗金","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0416","点石成金","0","269","49","8,099,400","0","0","0","0","0","0","201","120,600","0","265","48","7,978,800"
"20","0444","西游记","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0445","20倍现金","0","21","12","637,200","0","0","0","0","0","0","49","29,400","0","20","13","607,800"
"20","0464","体彩顶呱刮十周年庆","0","374","41","11,244,600","0","0","0","0","0","0","37","22,200","0","374","4","11,222,400"
"20","0481","节气歌","0","68","9","2,045,400","0","0","0","0","0","0","54","32,400","0","67","5","2,013,000"
"20","0482","锦绣","0","113","36","3,411,600","0","0","0","0","0","0","68","40,800","0","112","18","3,370,800"
"面值合计","","","0","1,185","407","34,264,200","0","0","0","0","0","0","675","405,000","0","1,172","332","33,859,200"
"30","0134","宝石之王","0","47","141","2,904,600","0","0","0","0","0","0","76","45,600","0","46","165","2,859,000"
"30","0175","好彩头","0","0","5","3,000","0","0","0","0","0","0","0","0","0","0","5","3,000"
"30","0287","好彩头","0","68","104","4,142,400","0","0","0","0","0","0","64","38,400","0","67","140","4,104,000"
"30","0319","黄金世界","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","0338","至尊宝","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","0354","大吉大利","0","52","118","3,190,800","0","0","0","0","0","0","63","37,800","0","51","155","3,153,000"
"30","0433","富贵有余","0","66","107","4,024,200","0","0","0","0","0","0","45","27,000","0","66","62","3,997,200"
"30","0446","天降财神","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"面值合计","","","0","233","475","14,265,000","0","0","0","0","0","0","248","148,800","0","230","527","14,116,200"
"50","0469","巅峰对决","0","98","69","7,419,000","0","0","0","0","0","0","119","119,000","0","96","100","7,300,000"
"面值合计","","","0","98","69","7,419,000","0","0","0","0","0","0","119","119,000","0","96","100","7,300,000"
"总计","","","0","7,984","3,586","250,302,300","0","0","0","0","0","0","2,171","1,294,700","0","7,943","3,665","249,007,600"
